id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	10	0	0	26	19	7	26	14	0
3	4	281	281	324	26	17	43	34	0
2	8	215	215	335	14	90	120	196	0
4	7	291	291	347	16	30	56	70	0
5	5	417	417	419	2	0	2	0	0
6	5	473	473	505	22	10	32	20	0
7	4	476	478	521	19	10	45	36	2
8	12	1002	1002	1103	39	62	101	124	0
10	8	1113	1121	1164	25	2	51	28	8
11	3	1114	1148	1169	6	9	55	58	34
9	11	1104	1104	1199	47	4	95	52	0
12	11	1120	1131	1212	30	32	92	94	11
13	5	1241	1241	1257	6	10	16	20	0
14	6	1289	1289	1349	47	11	60	24	0
15	5	1304	1304	1397	34	27	93	86	0
16	5	1603	1603	1606	3	0	3	0	0
17	14	1733	1733	1806	40	33	73	66	0
18	7	1766	1771	1859	31	57	93	119	5
19	19	1947	1947	2048	86	15	101	30	0
20	3	2063	2063	2071	2	6	8	12	0
21	5	2236	2236	2285	49	0	49	0	0
23	5	2464	2464	2478	14	0	14	0	0
22	6	2410	2410	2495	21	55	85	119	0
24	31	2597	2597	2676	59	20	79	40	0
25	12	2692	2692	2743	19	32	51	64	0
26	4	2891	2891	2898	4	3	7	6	0
27	7	3011	3011	3052	32	9	41	18	0
28	5	3310	3310	3320	10	0	10	0	0
29	4	3549	3549	3600	32	19	51	38	0
30	5	3673	3673	3674	1	0	1	0	0
0	0	0	0	3674	2919	0	3674	755	0
