id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	26	19	7	26	14	0
3	0	281	281	326	26	17	45	36	0
2	0	215	215	329	14	90	114	190	0
4	0	291	291	350	16	30	59	73	0
5	0	417	417	419	2	0	2	0	0
6	0	473	473	508	22	10	35	23	0
7	0	476	476	522	19	10	46	37	0
8	0	1002	1002	1103	39	62	101	124	0
10	0	1113	1113	1151	25	2	38	15	0
11	0	1114	1120	1156	6	9	42	45	6
9	0	1104	1104	1199	47	4	95	52	0
12	0	1120	1130	1234	30	32	114	116	10
13	0	1241	1241	1257	6	10	16	20	0
14	0	1289	1289	1360	47	11	71	35	0
15	0	1304	1304	1385	34	27	81	74	0
16	0	1603	1603	1606	3	0	3	0	0
17	0	1733	1733	1822	40	33	89	82	0
18	0	1766	1766	1859	31	57	93	119	0
19	0	1947	1947	2048	86	15	101	30	0
20	0	2063	2063	2071	2	6	8	12	0
21	0	2236	2236	2285	49	0	49	0	0
22	0	2410	2410	2486	21	55	76	110	0
23	0	2464	2464	2493	14	0	29	15	0
24	0	2597	2597	2676	59	20	79	40	0
25	0	2692	2692	2743	19	32	51	64	0
26	0	2891	2891	2898	4	3	7	6	0
27	0	3011	3011	3052	32	9	41	18	0
28	0	3310	3310	3320	10	0	10	0	0
29	0	3549	3549	3600	32	19	51	38	0
30	0	3673	3673	3674	1	0	1	0	0
0	0	0	0	3674	2919	0	3674	755	0
