id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	43	36	7	43	14	0
2	0	215	215	331	26	90	116	180	0
4	0	291	291	370	29	30	79	80	0
3	0	281	281	373	52	17	92	57	0
5	0	417	417	421	4	0	4	0	0
6	0	473	473	552	43	10	79	46	0
7	0	476	476	556	37	10	80	53	0
8	0	1002	1002	1203	77	62	201	186	0
11	0	1114	1117	1236	11	9	122	120	3
10	0	1113	1113	1261	49	2	148	101	0
13	0	1241	1261	1282	11	10	41	40	20
12	0	1120	1148	1374	59	32	254	227	28
9	0	1104	1104	1475	94	4	371	281	0
14	0	1289	1304	1494	93	11	205	123	15
15	0	1304	1329	1510	65	27	206	168	25
16	0	1603	1603	1609	6	0	6	0	0
17	0	1733	1733	1875	78	33	142	97	0
18	0	1766	1766	1904	61	57	138	134	0
20	0	2063	2063	2072	3	6	9	12	0
19	0	1947	1947	2135	170	15	188	33	0
21	0	2236	2236	2334	98	0	98	0	0
22	0	2410	2410	2507	42	55	97	110	0
23	0	2464	2464	2522	28	0	58	30	0
24	0	2597	2597	2754	117	20	157	60	0
25	0	2692	2692	2780	37	32	88	83	0
26	0	2891	2891	2901	7	3	10	6	0
27	0	3011	3011	3083	63	9	72	18	0
28	0	3310	3310	3330	20	0	20	0	0
29	0	3549	3549	3631	63	19	82	38	0
30	0	3673	3673	3674	1	0	1	0	0
0	0	0	0	3674	2194	0	3674	1480	0
