id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	78	71	7	78	14	0
3	0	281	281	413	104	17	132	45	0
2	0	215	215	422	51	90	207	246	0
5	0	417	422	429	7	0	12	5	5
4	0	291	291	494	57	30	203	176	0
6	0	473	473	571	86	10	98	22	0
7	0	476	494	633	73	10	157	94	18
11	0	1114	1149	1206	20	9	92	81	35
8	0	1002	1002	1253	153	62	251	160	0
10	0	1113	1152	1333	97	2	220	125	39
13	0	1241	1253	1334	21	10	93	82	12
15	0	1304	1334	1624	129	27	320	218	30
16	0	1603	1624	1635	11	0	32	21	21
12	0	1120	1485	1685	117	32	565	480	365
9	0	1104	1412	1805	187	4	701	518	308
14	0	1289	1351	2076	185	11	787	613	62
20	0	2063	2076	2093	5	6	30	31	13
18	0	1766	1845	2226	121	57	460	396	79
17	0	1733	1805	2243	154	33	510	389	72
21	0	2236	2243	2438	195	0	202	7	7
23	0	2464	2711	2767	56	0	303	247	247
22	0	2410	2438	2898	82	55	488	461	28
25	0	2692	2798	2911	73	32	219	178	106
19	0	1947	2454	3000	339	15	1053	729	507
26	0	2891	2898	3002	14	3	111	100	7
24	0	2597	3002	3269	232	20	672	460	405
27	0	3011	3229	3362	124	9	351	236	218
28	0	3310	3362	3401	39	0	91	52	52
29	0	3549	3549	3691	123	19	142	38	0
30	0	3673	3691	3692	1	0	19	18	18
0	0	0	0	3692	765	0	3692	2927	0
