id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	60	53	7	60	14	0
3	0	281	281	383	78	17	102	41	0
2	0	215	215	413	39	90	198	249	0
5	0	417	417	422	5	0	5	0	0
4	0	291	291	423	44	30	132	118	0
6	0	473	473	547	64	10	74	20	0
7	0	476	488	594	55	10	118	73	12
8	0	1002	1002	1288	115	62	286	233	0
9	0	1104	1123	1378	140	4	274	138	19
10	0	1113	1173	1423	73	2	310	239	60
11	0	1114	1201	1436	15	9	322	316	87
12	0	1120	1203	1488	87	32	368	313	83
13	0	1241	1436	1523	16	10	282	276	195
14	0	1289	1488	1642	140	11	353	224	199
16	0	1603	1668	1676	8	0	73	65	65
15	0	1304	1509	1747	97	27	443	373	205
17	0	1733	1747	1941	116	33	208	125	14
18	0	1766	1777	1977	91	57	211	177	11
20	0	2063	2147	2170	4	6	107	109	84
19	0	1947	1977	2247	255	15	300	60	30
21	0	2236	2247	2393	146	0	157	11	11
23	0	2464	2464	2506	42	0	42	0	0
22	0	2410	2410	2553	62	55	143	136	0
24	0	2597	2597	2826	175	20	229	74	0
25	0	2692	2768	2855	55	32	163	140	76
26	0	2891	2891	2904	10	3	13	6	0
27	0	3011	3011	3114	94	9	103	18	0
28	0	3310	3310	3340	30	0	30	0	0
29	0	3549	3549	3660	92	19	111	38	0
30	0	3673	3673	3674	1	0	1	0	0
0	0	0	0	3674	1472	0	3674	2202	0
