id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	6	0	0	115	11	104	115	208	0
2	7	239	239	254	12	3	15	6	0
3	5	291	291	300	9	0	9	0	0
4	6	527	527	548	11	10	21	20	0
5	5	562	562	599	19	18	37	36	0
6	5	643	643	668	25	0	25	0	0
7	9	665	668	703	23	12	38	27	3
8	9	675	680	707	16	6	32	22	5
9	3	963	963	979	12	4	16	8	0
10	5	1244	1244	1245	1	0	1	0	0
11	5	1376	1376	1387	11	0	11	0	0
12	4	1498	1498	1504	5	1	6	2	0
13	19	1511	1511	1552	39	2	41	4	0
14	10	1611	1611	1632	16	5	21	10	0
15	3	1678	1678	1682	2	2	4	4	0
16	7	1859	1859	1927	22	46	68	92	0
17	12	1961	1961	2032	44	27	71	54	0
18	5	2629	2629	2630	1	0	1	0	0
19	5	2928	2928	2948	20	0	20	0	0
20	4	2993	2993	3053	23	37	60	74	0
21	4	3042	3053	3070	4	13	28	37	11
22	5	3222	3222	3237	15	0	15	0	0
23	5	3412	3412	3423	9	2	11	4	0
24	5	3783	3783	3832	39	10	49	20	0
25	5	3954	3954	3955	1	0	1	0	0
26	4	4094	4094	4125	26	5	31	10	0
27	5	4163	4163	4169	6	0	6	0	0
28	5	4334	4334	4338	4	0	4	0	0
29	6	4512	4512	4537	18	7	25	14	0
30	10	4856	4856	4880	17	7	24	14	0
0	0	0	0	4880	4419	0	4880	461	0
