id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	135	31	104	135	208	0
2	0	239	239	275	33	3	36	6	0
3	0	291	291	316	25	0	25	0	0
4	0	527	527	569	32	10	42	20	0
5	0	562	569	642	55	18	80	43	7
6	0	643	643	718	75	0	75	0	0
7	0	665	718	818	65	12	153	100	53
8	0	675	752	829	46	6	154	114	77
9	0	963	963	1002	35	4	39	8	0
10	0	1244	1244	1246	2	0	2	0	0
11	0	1376	1376	1407	31	0	31	0	0
12	0	1498	1498	1514	15	1	16	2	0
13	0	1511	1514	1676	116	2	165	51	3
14	0	1611	1622	1677	46	5	66	25	11
15	0	1678	1678	1684	4	2	6	4	0
16	0	1859	1859	1970	65	46	111	92	0
17	0	1961	1970	2125	128	27	164	63	9
18	0	2629	2629	2630	1	0	1	0	0
19	0	2928	2928	2986	58	0	58	0	0
20	0	2993	2993	3097	67	37	104	74	0
21	0	3042	3097	3122	12	13	80	81	55
22	0	3222	3222	3267	45	0	45	0	0
23	0	3412	3412	3438	24	2	26	4	0
24	0	3783	3783	3910	117	10	127	20	0
25	0	3954	3954	3957	3	0	3	0	0
26	0	4094	4094	4175	76	5	81	10	0
27	0	4163	4175	4192	17	0	29	12	12
28	0	4334	4334	4345	11	0	11	0	0
29	0	4512	4512	4570	51	7	58	14	0
30	0	4856	4856	4913	50	7	57	14	0
0	0	0	0	4913	3577	0	4913	1336	0
