id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	125	21	104	125	208	0
2	0	239	239	264	22	3	25	6	0
3	0	291	291	308	17	0	17	0	0
4	0	527	527	558	21	10	31	20	0
5	0	562	562	617	37	18	55	36	0
6	0	643	643	693	50	0	50	0	0
7	0	665	693	760	44	12	95	63	28
8	0	675	716	768	31	6	93	68	41
9	0	963	963	991	24	4	28	8	0
10	0	1244	1244	1246	2	0	2	0	0
11	0	1376	1376	1397	21	0	21	0	0
12	0	1498	1498	1509	10	1	11	2	0
13	0	1511	1511	1590	77	2	79	4	0
14	0	1611	1611	1647	31	5	36	10	0
15	0	1678	1678	1683	3	2	5	4	0
16	0	1859	1859	1949	44	46	90	92	0
17	0	1961	1961	2073	85	27	112	54	0
18	0	2629	2629	2630	1	0	1	0	0
19	0	2928	2928	2967	39	0	39	0	0
20	0	2993	2993	3075	45	37	82	74	0
21	0	3042	3075	3096	8	13	54	59	33
22	0	3222	3222	3252	30	0	30	0	0
23	0	3412	3412	3431	17	2	19	4	0
24	0	3783	3783	3871	78	10	88	20	0
25	0	3954	3954	3956	2	0	2	0	0
26	0	4094	4094	4150	51	5	56	10	0
27	0	4163	4163	4174	11	0	11	0	0
28	0	4334	4334	4341	7	0	7	0	0
29	0	4512	4512	4553	34	7	41	14	0
30	0	4856	4856	4896	33	7	40	14	0
0	0	0	0	4896	4000	0	4896	896	0
