id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	125	21	104	125	208	0
2	0	159	159	184	22	3	25	6	0
3	0	194	194	211	17	0	17	0	0
4	0	351	351	382	21	10	31	20	0
5	0	374	374	512	37	18	138	119	0
6	0	428	428	539	50	0	111	61	0
8	0	450	490	547	31	6	97	72	40
7	0	443	450	562	44	12	119	87	7
9	0	642	642	670	24	4	28	8	0
10	0	829	829	831	2	0	2	0	0
11	0	917	917	938	21	0	21	0	0
12	0	998	998	1034	10	1	36	27	0
13	0	1007	1007	1107	77	2	100	25	0
14	0	1074	1074	1122	31	5	48	22	0
15	0	1119	1119	1124	3	2	5	4	0
16	0	1240	1240	1330	44	46	90	92	0
17	0	1308	1308	1440	85	27	132	74	0
18	0	1753	1753	1754	1	0	1	0	0
19	0	1952	1952	1991	39	0	39	0	0
21	0	2028	2028	2049	8	13	21	26	0
20	0	1995	1995	2081	45	37	86	78	0
22	0	2148	2148	2178	30	0	30	0	0
23	0	2275	2275	2294	17	2	19	4	0
24	0	2523	2523	2611	78	10	88	20	0
25	0	2637	2637	2639	2	0	2	0	0
27	0	2777	2777	2788	11	0	11	0	0
26	0	2731	2731	2798	51	5	67	21	0
28	0	2891	2891	2898	7	0	7	0	0
29	0	3010	3010	3051	34	7	41	14	0
30	0	3239	3239	3279	33	7	40	14	0
0	0	0	0	3279	2383	0	3279	896	0
