id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	159	159	185	22	4	26	8	0
1	0	0	0	194	21	172	194	345	0
3	0	194	194	211	17	0	17	0	0
4	0	351	351	392	21	17	41	37	0
5	0	374	374	441	37	30	67	60	0
6	0	428	441	491	50	0	63	13	13
7	0	443	491	558	44	20	115	91	48
8	0	450	514	566	31	10	116	95	64
9	0	642	642	672	24	6	30	12	0
10	0	829	829	831	2	0	2	0	0
11	0	917	917	938	21	0	21	0	0
12	0	998	998	1010	10	2	12	4	0
13	0	1007	1010	1118	77	2	111	36	3
14	0	1074	1082	1122	31	8	48	25	8
15	0	1119	1119	1125	3	3	6	6	0
16	0	1240	1240	1373	44	76	133	165	0
17	0	1308	1308	1440	85	44	132	91	0
18	0	1753	1753	1754	1	0	1	0	0
19	0	1952	1952	1991	39	0	39	0	0
21	0	2028	2028	2058	8	22	30	44	0
20	0	1995	1995	2101	45	61	106	122	0
22	0	2148	2148	2178	30	0	30	0	0
23	0	2275	2275	2296	17	4	21	8	0
24	0	2523	2523	2617	78	16	94	32	0
25	0	2637	2637	2639	2	0	2	0	0
26	0	2731	2731	2790	51	8	59	16	0
27	0	2777	2790	2801	11	0	24	13	13
28	0	2891	2891	2898	7	0	7	0	0
29	0	3010	3010	3055	34	11	45	22	0
30	0	3239	3239	3284	33	12	45	24	0
0	0	0	0	3284	2388	0	3284	896	0
