id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	46	25	21	46	42	0
2	1	99	99	170	30	41	71	82	0
3	2	406	406	482	74	2	76	4	0
4	4	493	493	597	92	12	104	24	0
5	0	689	689	704	5	10	15	20	0
6	1	1013	1013	1095	53	29	82	58	0
10	0	1152	1152	1167	13	0	15	2	0
7	0	1114	1114	1191	21	19	77	75	0
9	0	1125	1152	1205	35	5	80	50	27
8	0	1115	1115	1207	24	6	92	74	0
11	0	1476	1476	1481	5	0	5	0	0
12	0	1679	1679	1737	21	36	58	73	0
13	0	1700	1700	1809	43	66	109	132	0
14	1	1731	1731	1831	23	0	100	77	0
15	1	1732	1757	1872	51	28	140	117	25
17	2	1938	1938	2020	57	0	82	25	0
16	2	1877	1877	2108	122	89	231	198	0
18	0	2379	2379	2384	5	0	5	0	0
19	0	2397	2397	2398	1	0	1	0	0
20	0	2429	2429	2460	16	15	31	30	0
21	0	2570	2570	2584	13	1	14	2	0
22	1	2750	2750	2785	35	0	35	0	0
23	3	2980	2980	3094	101	13	114	26	0
24	1	3118	3118	3198	52	2	80	30	0
27	0	3234	3234	3246	11	1	12	2	0
26	0	3225	3225	3252	16	0	27	11	0
25	2	3143	3143	3254	57	10	111	64	0
28	0	3281	3281	3303	21	0	22	1	0
29	1	3295	3295	3363	41	14	68	41	0
30	0	3339	3339	3366	14	13	27	26	0
0	0	0	0	3366	2289	0	3366	1077	0
