id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	46	25	21	46	42	0
2	0	197	197	268	30	41	71	82	0
3	0	810	810	886	74	2	76	4	0
4	0	984	984	1088	92	12	104	24	0
5	0	1376	1376	1391	5	10	15	20	0
6	0	2024	2024	2106	53	29	82	58	0
7	0	2225	2225	2286	21	19	61	59	0
8	0	2227	2227	2291	24	6	64	46	0
10	0	2300	2300	2313	13	0	13	0	0
9	0	2247	2262	2323	35	5	76	46	15
11	0	2948	2948	2953	5	0	5	0	0
12	0	3354	3354	3411	21	36	57	72	0
13	0	3395	3395	3542	43	66	147	170	0
14	0	3456	3456	3555	23	0	99	76	0
15	0	3458	3458	3564	51	28	106	83	0
17	0	3869	3869	3966	57	0	97	40	0
16	0	3747	3747	3978	122	89	231	198	0
18	0	4751	4751	4756	5	0	5	0	0
19	0	4787	4787	4788	1	0	1	0	0
20	0	4851	4851	4882	16	15	31	30	0
21	0	5132	5132	5146	13	1	14	2	0
22	0	5491	5491	5526	35	0	35	0	0
23	0	5950	5950	6064	101	13	114	26	0
24	0	6226	6226	6286	52	2	60	10	0
25	0	6275	6275	6342	57	10	67	20	0
26	0	6439	6439	6455	16	0	16	0	0
27	0	6457	6457	6469	11	1	12	2	0
28	0	6550	6550	6571	21	0	21	0	0
29	0	6577	6577	6632	41	14	55	28	0
30	0	6665	6665	6692	14	13	27	26	0
0	0	0	0	6692	5615	0	6692	1077	0
