id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	1	0	0	43	36	7	43	14	0
4	0	387	387	448	29	30	61	62	0
3	0	374	374	464	52	17	90	55	0
2	1	286	286	469	26	90	183	247	0
5	0	555	555	559	4	0	4	0	0
6	1	629	629	708	43	10	79	46	0
7	1	632	632	712	37	10	80	53	0
10	0	1481	1481	1594	49	2	113	66	0
11	0	1482	1546	1603	11	9	121	119	64
13	0	1650	1650	1671	11	10	21	20	0
12	1	1489	1509	1685	59	32	196	169	20
9	2	1469	1469	1693	94	4	224	134	0
8	3	1333	1333	1696	77	62	363	348	0
15	1	1734	1734	1866	65	27	132	94	0
14	2	1714	1714	1878	93	11	164	82	0
16	0	2132	2132	2138	6	0	6	0	0
17	1	2305	2305	2447	78	33	142	97	0
18	2	2349	2349	2496	61	57	147	143	0
20	0	2745	2745	2754	3	6	9	12	0
19	6	2590	2590	2778	170	15	188	33	0
21	4	2975	2975	3073	98	0	98	0	0
22	0	3207	3207	3324	42	55	117	130	0
23	1	3279	3279	3330	28	0	51	23	0
24	5	3457	3457	3622	117	20	165	68	0
25	1	3583	3583	3652	37	32	69	64	0
26	0	3848	3848	3858	7	3	10	6	0
27	1	4007	4007	4079	63	9	72	18	0
28	0	4406	4406	4426	20	0	20	0	0
29	2	4725	4725	4807	63	19	82	38	0
30	0	4890	4890	4891	1	0	1	0	0
0	0	0	0	4891	3411	0	4891	1480	0
