id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	17	0	0	43	36	7	43	14	0
3	5	374	374	448	52	17	74	39	0
2	13	286	286	468	26	90	182	246	0
4	12	387	387	478	29	30	91	92	0
5	5	555	555	559	4	0	4	0	0
6	8	629	629	682	43	10	53	20	0
7	6	632	639	713	37	10	81	54	7
8	22	1333	1333	1472	77	62	139	124	0
10	12	1481	1506	1591	49	2	110	63	25
11	4	1482	1559	1600	11	9	118	116	77
9	20	1469	1472	1660	94	4	191	101	3
12	20	1489	1525	1695	59	32	206	179	36
13	8	1650	1660	1696	11	10	46	45	10
14	10	1714	1714	1822	93	11	108	26	0
15	8	1734	1734	1897	65	27	163	125	0
16	5	2132	2132	2138	6	0	6	0	0
17	27	2305	2305	2417	78	33	112	67	0
18	12	2349	2377	2495	61	57	146	142	28
19	36	2590	2590	2775	170	15	185	30	0
20	3	2745	2775	2784	3	6	39	42	30
21	5	2975	2975	3073	98	0	98	0	0
23	5	3279	3288	3316	28	0	37	9	9
22	11	3207	3207	3330	42	55	123	136	0
24	60	3457	3457	3622	117	20	165	68	0
25	21	3583	3583	3652	37	32	69	64	0
26	6	3848	3848	3858	7	3	10	6	0
27	12	4007	4007	4079	63	9	72	18	0
28	5	4406	4406	4426	20	0	20	0	0
29	6	4725	4725	4807	63	19	82	38	0
30	5	4890	4890	4891	1	0	1	0	0
0	0	0	0	4891	3411	0	4891	1480	0
