id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	43	36	7	43	14	0
2	0	286	286	407	26	90	121	185	0
4	0	387	387	448	29	30	61	62	0
3	0	374	374	469	52	17	95	60	0
5	0	555	555	559	4	0	4	0	0
6	0	629	629	708	43	10	79	46	0
7	0	632	632	712	37	10	80	53	0
8	0	1333	1333	1513	77	62	180	165	0
11	0	1482	1509	1567	11	9	85	83	27
10	0	1481	1482	1617	49	2	136	89	1
9	0	1469	1469	1670	94	4	201	111	0
13	0	1650	1650	1671	11	10	21	20	0
12	0	1489	1513	1697	59	32	208	181	24
15	0	1734	1734	1866	65	27	132	94	0
14	0	1714	1714	1878	93	11	164	82	0
16	0	2132	2132	2138	6	0	6	0	0
17	0	2305	2305	2447	78	33	142	97	0
18	0	2349	2349	2496	61	57	147	143	0
20	0	2745	2745	2754	3	6	9	12	0
19	0	2590	2590	2778	170	15	188	33	0
21	0	2975	2975	3073	98	0	98	0	0
22	0	3207	3207	3324	42	55	117	130	0
23	0	3279	3279	3330	28	0	51	23	0
24	0	3457	3457	3594	117	20	137	40	0
25	0	3583	3583	3655	37	32	72	67	0
26	0	3848	3848	3858	7	3	10	6	0
27	0	4007	4007	4079	63	9	72	18	0
28	0	4406	4406	4426	20	0	20	0	0
29	0	4725	4725	4807	63	19	82	38	0
30	0	4890	4890	4891	1	0	1	0	0
0	0	0	0	4891	3411	0	4891	1480	0
