id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	1	0	0	40	38	2	40	4	0
2	0	408	408	411	3	0	3	0	0
3	0	534	534	541	7	0	7	0	0
4	2	812	812	867	55	0	55	0	0
5	0	1129	1129	1144	10	5	15	10	0
6	0	1338	1338	1347	9	0	9	0	0
7	4	1366	1366	1477	86	25	111	50	0
8	0	2057	2057	2107	24	26	50	52	0
9	1	2087	2087	2136	39	0	49	10	0
10	3	2937	2937	3017	74	6	80	12	0
11	0	3136	3136	3144	8	0	8	0	0
12	0	3627	3627	3647	20	0	20	0	0
13	1	3721	3721	3749	28	0	28	0	0
15	1	3930	3930	4026	47	13	96	62	0
14	2	3929	3929	4078	86	31	149	94	0
16	2	4104	4104	4210	53	53	106	106	0
18	0	4457	4457	4460	3	0	3	0	0
17	0	4440	4440	4489	42	4	49	11	0
19	0	4513	4513	4531	18	0	18	0	0
22	2	4632	4632	4750	65	7	118	60	0
20	2	4557	4557	4784	80	16	227	163	0
21	5	4608	4608	4844	123	7	236	120	0
23	0	5000	5000	5062	23	39	62	78	0
24	0	5131	5131	5150	19	0	19	0	0
25	1	5238	5238	5295	44	13	57	26	0
26	0	5538	5538	5562	10	14	24	28	0
27	2	6627	6627	6699	71	1	72	2	0
28	1	6699	6699	6782	68	15	83	30	0
29	3	6808	6808	6880	70	2	72	4	0
30	3	7916	7916	7996	74	6	80	12	0
0	0	0	0	7996	6699	0	7996	1297	0
