id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	6	0	0	50	38	12	50	24	0
2	15	67	67	152	47	38	85	76	0
3	3	149	152	265	91	22	116	47	3
4	5	323	323	325	2	0	2	0	0
5	21	417	417	475	44	14	58	28	0
6	18	470	475	578	81	22	108	49	5
7	17	733	733	779	38	8	46	16	0
9	5	907	926	979	16	31	72	87	19
8	29	817	817	995	115	63	178	126	0
10	7	940	960	1022	35	23	82	70	20
11	23	1105	1105	1201	64	32	96	64	0
12	9	1206	1206	1243	17	20	37	40	0
13	5	1316	1316	1351	35	0	35	0	0
14	9	1340	1351	1379	20	8	39	27	11
15	5	1403	1403	1424	21	0	21	0	0
16	5	1508	1508	1539	31	0	31	0	0
17	5	1510	1539	1540	1	0	30	29	29
18	12	1751	1751	1784	20	13	33	26	0
19	8	1854	1854	1870	11	5	16	10	0
20	5	1951	1951	1964	13	0	13	0	0
23	5	2105	2125	2147	22	0	42	20	20
22	15	2024	2101	2162	39	8	138	107	77
21	59	1989	1989	2175	125	3	186	64	0
25	5	2206	2255	2264	9	0	58	49	49
24	21	2189	2189	2404	153	44	215	106	0
26	7	2344	2344	2434	47	4	90	47	0
27	22	2513	2513	2606	63	30	93	60	0
29	19	2694	2745	2817	61	2	123	64	51
30	8	2717	2778	2829	23	13	112	102	61
28	27	2693	2693	2904	99	47	211	159	0
0	0	0	0	2904	1523	0	2904	1381	0
