id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	50	38	12	50	24	0
2	0	166	166	251	47	38	85	76	0
3	0	371	371	484	91	22	113	44	0
4	0	806	806	808	2	0	2	0	0
5	0	1041	1041	1099	44	14	58	28	0
6	0	1173	1173	1276	81	22	103	44	0
7	0	1830	1830	1876	38	8	46	16	0
8	0	2038	2038	2216	115	63	178	126	0
9	0	2263	2263	2310	16	31	47	62	0
10	0	2344	2344	2402	35	23	58	46	0
11	0	2756	2756	2852	64	32	96	64	0
12	0	3007	3007	3044	17	20	37	40	0
13	0	3281	3281	3316	35	0	35	0	0
14	0	3341	3341	3369	20	8	28	16	0
15	0	3497	3497	3518	21	0	21	0	0
16	0	3760	3760	3791	31	0	31	0	0
17	0	3764	3791	3792	1	0	28	27	27
18	0	4365	4365	4398	20	13	33	26	0
19	0	4622	4622	4638	11	5	16	10	0
20	0	4863	4863	4876	13	0	13	0	0
21	0	4957	4957	5106	125	3	149	27	0
22	0	5043	5069	5121	39	8	78	47	26
23	0	5245	5245	5267	22	0	22	0	0
25	0	5497	5521	5530	9	0	33	24	24
24	0	5455	5455	5653	153	44	198	89	0
26	0	5840	5840	5891	47	4	51	8	0
27	0	6261	6261	6354	63	30	93	60	0
29	0	6711	6762	6843	61	2	132	73	51
30	0	6769	6804	6855	23	13	86	76	35
28	0	6710	6710	6895	99	47	185	133	0
0	0	0	0	6895	5514	0	6895	1381	0
