id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	50	38	12	50	24	0
2	0	133	133	218	47	38	85	76	0
3	0	297	297	410	91	22	113	44	0
4	0	645	645	647	2	0	2	0	0
5	0	833	833	891	44	14	58	28	0
6	0	938	938	1041	81	22	103	44	0
7	0	1464	1464	1510	38	8	46	16	0
8	0	1631	1631	1809	115	63	178	126	0
9	0	1811	1811	1858	16	31	47	62	0
10	0	1876	1876	1934	35	23	58	46	0
11	0	2206	2206	2302	64	32	96	64	0
12	0	2407	2407	2444	17	20	37	40	0
13	0	2627	2627	2662	35	0	35	0	0
14	0	2675	2675	2703	20	8	28	16	0
15	0	2800	2800	2821	21	0	21	0	0
17	0	3014	3014	3015	1	0	1	0	0
16	0	3010	3010	3042	31	0	32	1	0
18	0	3495	3495	3528	20	13	33	26	0
19	0	3701	3701	3717	11	5	16	10	0
20	0	3894	3894	3907	13	0	13	0	0
22	0	4039	4039	4106	39	8	67	36	0
21	0	3970	3970	4137	125	3	167	45	0
23	0	4201	4201	4223	22	0	22	0	0
25	0	4402	4402	4411	9	0	9	0	0
24	0	4369	4369	4575	153	44	206	97	0
26	0	4677	4677	4728	47	4	51	8	0
27	0	5014	5014	5107	63	30	93	60	0
30	0	5420	5440	5485	23	13	65	55	20
29	0	5374	5374	5518	61	2	144	85	0
28	0	5373	5373	5567	99	47	194	142	0
0	0	0	0	5567	4186	0	5567	1381	0
