id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	2	0	0	85	73	12	85	24	0
2	3	100	100	233	93	38	133	78	0
3	8	223	223	427	182	22	204	44	0
4	0	484	484	488	4	0	4	0	0
5	3	625	625	806	86	14	181	109	0
6	5	704	704	891	160	22	187	49	0
7	2	1099	1099	1183	76	8	84	16	0
9	0	1359	1359	1435	30	31	76	77	0
10	2	1408	1408	1499	68	23	91	46	0
8	7	1224	1224	1613	228	63	389	224	0
11	5	1656	1656	1840	128	32	184	88	0
12	1	1807	1807	1861	34	20	54	40	0
14	1	2008	2008	2075	39	8	67	36	0
13	2	1972	1972	2081	70	0	109	39	0
15	2	2102	2102	2143	41	0	41	0	0
17	0	2263	2263	2264	1	0	1	0	0
16	2	2260	2260	2323	62	0	63	1	0
18	1	2624	2624	2676	39	13	52	26	0
19	0	2778	2778	2803	20	5	25	10	0
20	1	2923	2923	2949	26	0	26	0	0
23	2	3154	3154	3198	44	0	44	0	0
22	3	3032	3032	3202	78	8	170	100	0
25	0	3305	3305	3322	17	0	17	0	0
26	3	3511	3511	3608	93	4	97	8	0
21	9	2980	2980	3673	248	3	693	448	0
27	5	3764	3764	3918	124	30	154	60	0
24	13	3280	3280	3923	303	44	643	384	0
30	2	4070	4070	4208	45	13	138	106	0
29	4	4035	4035	4344	121	2	309	190	0
28	6	4034	4034	4400	196	47	366	217	0
0	0	0	0	4400	1671	0	4400	2729	0
