id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	85	73	12	85	24	0
2	0	100	100	233	93	38	133	78	0
3	0	223	223	427	182	22	204	44	0
4	0	484	484	488	4	0	4	0	0
5	0	625	625	725	86	14	100	28	0
6	0	704	704	901	160	22	197	59	0
7	0	1099	1099	1183	76	8	84	16	0
9	0	1359	1359	1455	30	31	96	97	0
10	0	1408	1428	1559	68	23	151	106	20
8	0	1224	1224	1613	228	63	389	224	0
11	0	1656	1656	1836	128	32	180	84	0
12	0	1807	1807	1870	34	20	63	49	0
14	0	2008	2008	2075	39	8	67	36	0
13	0	1972	1972	2081	70	0	109	39	0
15	0	2102	2102	2143	41	0	41	0	0
17	0	2263	2263	2264	1	0	1	0	0
16	0	2260	2260	2323	62	0	63	1	0
18	0	2624	2624	2676	39	13	52	26	0
19	0	2778	2778	2803	20	5	25	10	0
20	0	2923	2923	2949	26	0	26	0	0
22	0	3032	3032	3164	78	8	132	62	0
23	0	3154	3164	3248	44	0	94	50	10
25	0	3305	3325	3342	17	0	37	20	20
21	0	2980	2980	3450	248	3	470	225	0
26	0	3511	3511	3668	93	4	157	68	0
24	0	3280	3280	3867	303	44	587	328	0
27	0	3764	3764	3961	124	30	197	103	0
30	0	4070	4090	4274	45	13	204	172	20
29	0	4035	4035	4304	121	2	269	150	0
28	0	4034	4034	4428	196	47	394	245	0
0	0	0	0	4428	1699	0	4428	2729	0
