id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	32	20	12	32	24	0
2	0	100	100	162	24	38	62	76	0
3	0	223	223	291	46	22	68	44	0
4	0	484	484	485	1	0	1	0	0
5	0	625	625	661	22	14	36	28	0
6	0	704	704	767	41	22	63	44	0
7	0	1099	1099	1126	19	8	27	16	0
8	0	1224	1224	1345	58	63	121	126	0
9	0	1359	1359	1399	9	31	40	62	0
10	0	1408	1408	1449	18	23	41	46	0
11	0	1656	1656	1721	33	32	65	64	0
12	0	1807	1807	1836	9	20	29	40	0
13	0	1972	1972	1990	18	0	18	0	0
14	0	2008	2008	2027	11	8	19	16	0
15	0	2102	2102	2113	11	0	11	0	0
17	0	2263	2263	2264	1	0	1	0	0
16	0	2260	2260	2277	16	0	17	1	0
18	0	2624	2624	2647	10	13	23	26	0
19	0	2778	2778	2789	6	5	11	10	0
20	0	2923	2923	2930	7	0	7	0	0
22	0	3032	3032	3060	20	8	28	16	0
21	0	2980	2980	3066	63	3	86	26	0
23	0	3154	3154	3165	11	0	11	0	0
25	0	3305	3305	3310	5	0	5	0	0
24	0	3280	3280	3407	78	44	127	93	0
26	0	3511	3511	3539	24	4	28	8	0
27	0	3764	3764	3826	32	30	62	60	0
29	0	4035	4035	4068	31	2	33	4	0
30	0	4070	4070	4095	12	13	25	26	0
28	0	4034	4034	4174	50	47	140	137	0
0	0	0	0	4174	3468	0	4174	706	0
