id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	6	0	0	42	38	4	42	8	0
2	5	163	163	166	3	0	3	0	0
3	5	214	214	221	7	0	7	0	0
4	5	325	325	380	55	0	55	0	0
5	4	452	452	470	10	8	18	16	0
6	5	536	536	545	9	0	9	0	0
7	4	548	548	676	86	42	128	84	0
9	5	837	840	879	39	0	42	3	3
8	6	825	825	891	24	42	66	84	0
10	8	1177	1177	1260	74	9	83	18	0
11	5	1257	1260	1268	8	0	11	3	3
12	5	1454	1454	1474	20	0	20	0	0
13	5	1492	1492	1520	28	0	28	0	0
15	20	1576	1587	1655	47	21	79	53	11
14	24	1575	1575	1737	86	50	162	126	0
16	3	1646	1655	1796	53	88	150	185	9
18	5	1788	1818	1821	3	0	33	30	30
19	5	1811	1821	1839	18	0	28	10	10
20	13	1829	1839	1952	80	26	123	69	10
22	6	1860	1886	2010	65	11	150	96	26
17	14	1781	1796	2044	42	7	263	228	15
24	5	2061	2104	2123	19	0	62	43	43
23	8	2008	2010	2138	23	65	130	172	2
21	36	1850	1860	2180	123	11	330	218	10
25	16	2104	2123	2215	44	20	111	87	19
26	4	2224	2224	2257	10	23	33	46	0
27	23	2660	2660	2845	71	1	185	115	0
28	19	2689	2700	2860	68	24	171	127	11
29	33	2733	2735	2869	70	2	136	68	2
30	27	3176	3176	3259	74	9	83	18	0
0	0	0	0	3259	1962	0	3259	1297	0
