id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	43	38	5	43	10	0
2	0	163	163	166	3	0	3	0	0
3	0	214	214	221	7	0	7	0	0
4	0	325	325	380	55	0	55	0	0
5	0	452	452	473	10	11	21	22	0
6	0	536	536	545	9	0	9	0	0
7	0	548	548	692	86	58	144	116	0
9	0	837	840	879	39	0	42	3	3
8	0	825	825	907	24	58	82	116	0
10	0	1177	1177	1263	74	12	86	24	0
11	0	1257	1263	1271	8	0	14	6	6
12	0	1454	1454	1474	20	0	20	0	0
13	0	1492	1492	1520	28	0	28	0	0
15	0	1576	1587	1663	47	29	87	69	11
14	0	1575	1575	1753	86	68	178	160	0
16	0	1646	1646	1822	53	123	176	246	0
18	0	1788	1822	1825	3	0	37	34	34
19	0	1811	1825	1843	18	0	32	14	14
17	0	1781	1871	1939	42	10	158	126	90
22	0	1860	1864	2052	65	16	192	143	4
24	0	2061	2066	2085	19	0	24	5	5
21	0	1850	1893	2132	123	15	282	174	43
20	0	1829	1843	2202	80	36	373	329	14
23	0	2008	2052	2206	23	90	198	265	44
25	0	2104	2132	2242	44	28	138	122	28
26	0	2224	2230	2271	10	31	47	68	6
27	0	2660	2660	2766	71	1	106	36	0
28	0	2689	2700	2860	68	33	171	136	11
29	0	2733	2784	2869	70	3	136	69	51
30	0	3176	3176	3263	74	13	87	26	0
0	0	0	0	3263	1966	0	3263	1297	0
