id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	1	0	0	43	38	5	43	10	0
2	0	163	163	166	3	0	3	0	0
3	0	214	214	221	7	0	7	0	0
4	2	325	325	380	55	0	55	0	0
5	0	452	452	473	10	11	21	22	0
6	0	536	536	545	9	0	9	0	0
7	4	548	548	692	86	58	144	116	0
9	1	837	837	879	39	0	42	3	0
8	0	825	825	927	24	58	102	136	0
11	0	1257	1257	1265	8	0	8	0	0
10	2	1177	1177	1271	74	12	94	32	0
12	0	1454	1454	1474	20	0	20	0	0
13	1	1492	1492	1520	28	0	28	0	0
15	1	1576	1576	1668	47	29	92	74	0
14	2	1575	1575	1749	86	68	174	156	0
18	0	1788	1811	1814	3	0	26	23	23
19	0	1811	1826	1861	18	0	50	32	15
17	0	1781	1781	1918	42	10	137	105	0
24	0	2061	2061	2080	19	0	19	0	0
23	0	2008	2008	2121	23	90	113	180	0
16	1	1646	1646	2131	53	123	485	555	0
25	1	2104	2104	2196	44	28	92	76	0
21	2	1850	1872	2206	123	15	356	248	22
22	2	1860	1865	2223	65	16	363	314	5
20	2	1829	1829	2241	80	36	412	368	0
26	0	2224	2224	2265	10	31	41	62	0
27	1	2660	2660	2772	71	1	112	42	0
29	2	2733	2733	2857	70	3	124	57	0
28	1	2689	2689	2872	68	33	183	148	0
30	3	3176	3176	3263	74	13	87	26	0
0	0	0	0	3263	1966	0	3263	1297	0
