id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	1	0	0	44	38	6	44	12	0
2	0	163	163	166	3	0	3	0	0
3	0	214	214	221	7	0	7	0	0
4	2	325	325	380	55	0	55	0	0
5	0	452	452	476	10	14	24	28	0
6	0	536	536	545	9	0	9	0	0
7	4	548	548	709	86	75	161	150	0
9	1	837	837	879	39	0	42	3	0
8	0	825	825	943	24	74	118	168	0
11	0	1257	1257	1265	8	0	8	0	0
10	2	1177	1177	1275	74	16	98	40	0
12	0	1454	1454	1474	20	0	20	0	0
13	1	1492	1492	1520	28	0	28	0	0
15	1	1576	1576	1677	47	38	101	92	0
14	2	1575	1575	1768	86	87	193	194	0
18	0	1788	1788	1791	3	0	3	0	0
19	0	1811	1824	1872	18	0	61	43	13
17	0	1781	1781	1882	42	12	101	71	0
22	1	1860	1882	2052	65	20	192	147	22
24	0	2061	2061	2080	19	0	19	0	0
16	1	1646	1646	2085	53	158	439	544	0
23	0	2008	2008	2146	23	115	138	230	0
25	1	2104	2104	2204	44	36	100	92	0
20	2	1829	1909	2231	80	47	402	369	80
21	3	1850	1889	2255	123	19	405	301	39
26	0	2224	2224	2274	10	40	50	80	0
27	1	2660	2660	2772	71	1	112	42	0
29	2	2733	2733	2858	70	4	125	59	0
28	1	2689	2689	2882	68	43	193	168	0
30	3	3176	3176	3266	74	16	90	32	0
0	0	0	0	3266	1969	0	3266	1297	0
