id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	43	38	5	43	10	0
2	0	163	163	166	3	0	3	0	0
3	0	214	214	221	7	0	7	0	0
4	0	325	325	380	55	0	55	0	0
5	0	452	452	473	10	11	21	22	0
6	0	536	536	545	9	0	9	0	0
7	0	548	548	692	86	58	144	116	0
9	0	837	837	879	39	0	42	3	0
8	0	825	825	927	24	58	102	136	0
11	0	1257	1257	1265	8	0	8	0	0
10	0	1177	1177	1271	74	12	94	32	0
12	0	1454	1454	1474	20	0	20	0	0
13	0	1492	1492	1520	28	0	28	0	0
15	0	1576	1576	1668	47	29	92	74	0
14	0	1575	1575	1749	86	68	174	156	0
18	0	1788	1808	1811	3	0	23	20	20
19	0	1811	1829	1847	18	0	36	18	18
16	0	1646	1646	1863	53	123	217	287	0
17	0	1781	1781	1954	42	10	173	141	0
22	0	1860	1895	2072	65	16	212	163	35
24	0	2061	2088	2138	19	0	77	58	27
21	0	1850	1863	2196	123	15	346	238	13
23	0	2008	2015	2218	23	90	210	277	7
25	0	2104	2138	2240	44	28	136	120	34
20	0	1829	1850	2241	80	36	412	368	21
26	0	2224	2228	2269	10	31	45	66	4
27	0	2660	2660	2773	71	1	113	43	0
28	0	2689	2689	2832	68	33	143	108	0
29	0	2733	2747	2872	70	3	139	72	14
30	0	3176	3176	3263	74	13	87	26	0
0	0	0	0	3263	1966	0	3263	1297	0
