id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	5	0	0	22	20	2	22	4	0
2	5	245	245	247	2	0	2	0	0
3	5	321	321	325	4	0	4	0	0
4	5	488	488	516	28	0	28	0	0
5	4	679	679	690	6	5	11	10	0
6	5	804	804	809	5	0	5	0	0
7	4	821	821	890	44	25	69	50	0
9	5	1254	1254	1274	20	0	20	0	0
8	4	1236	1236	1279	12	26	43	57	0
10	6	1764	1764	1808	38	6	44	12	0
11	5	1884	1884	1888	4	0	4	0	0
12	5	2179	2179	2189	10	0	10	0	0
13	5	2236	2236	2250	14	0	14	0	0
15	11	2362	2367	2404	24	13	42	31	5
14	13	2361	2361	2448	44	31	87	74	0
16	3	2467	2467	2547	27	53	80	106	0
18	5	2679	2680	2682	2	0	3	1	1
17	8	2669	2669	2694	21	4	25	8	0
19	5	2713	2713	2722	9	0	9	0	0
20	8	2740	2740	2797	41	16	57	32	0
22	5	2786	2810	2871	33	7	85	59	24
21	19	2771	2797	2892	62	7	121	66	26
23	5	3007	3007	3058	12	39	51	78	0
24	5	3086	3086	3096	10	0	10	0	0
25	9	3151	3151	3187	23	13	36	26	0
26	3	3331	3331	3350	5	14	19	28	0
27	13	3985	3985	4022	36	1	37	2	0
28	11	4028	4028	4078	35	15	50	30	0
29	18	4093	4093	4131	36	2	38	4	0
30	15	4758	4758	4801	37	6	43	12	0
0	0	0	0	4801	4137	0	4801	664	0
