id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	59	57	2	59	4	0
2	0	245	245	249	4	0	4	0	0
3	0	321	321	331	10	0	10	0	0
4	0	488	488	570	82	0	82	0	0
5	0	679	679	699	15	5	20	10	0
6	0	804	804	817	13	0	13	0	0
7	0	821	821	974	128	25	153	50	0
9	0	1254	1256	1314	58	0	60	2	2
8	0	1236	1236	1329	34	26	93	85	0
10	0	1764	1764	1880	110	6	116	12	0
11	0	1884	1884	1896	12	0	12	0	0
12	0	2179	2179	2209	30	0	30	0	0
13	0	2236	2236	2278	42	0	42	0	0
15	0	2362	2379	2463	71	13	101	43	17
16	0	2467	2494	2626	79	53	159	133	27
14	0	2361	2361	2646	127	31	285	189	0
18	0	2679	2702	2707	5	0	28	23	23
17	0	2669	2669	2737	63	4	68	9	0
19	0	2713	2737	2764	27	0	51	24	24
20	0	2740	2764	2933	120	16	193	89	24
22	0	2786	2835	3102	96	7	316	227	49
21	0	2771	2796	3184	184	7	413	236	25
24	0	3086	3184	3212	28	0	126	98	98
23	0	3007	3102	3288	32	39	281	288	95
25	0	3151	3219	3302	67	13	151	97	68
26	0	3331	3331	3359	14	14	28	28	0
27	0	3985	3985	4143	106	1	158	53	0
29	0	4093	4143	4275	105	2	182	79	50
28	0	4028	4044	4297	101	15	269	183	16
30	0	4758	4758	4875	111	6	117	12	0
0	0	0	0	4875	2944	0	4875	1931	0
