id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	22	20	2	22	4	0
2	0	245	245	247	2	0	2	0	0
3	0	321	321	325	4	0	4	0	0
4	0	488	488	516	28	0	28	0	0
5	0	679	679	690	6	5	11	10	0
6	0	804	804	809	5	0	5	0	0
7	0	821	821	890	44	25	69	50	0
9	0	1254	1254	1274	20	0	20	0	0
8	0	1236	1236	1279	12	26	43	57	0
10	0	1764	1764	1808	38	6	44	12	0
11	0	1884	1884	1888	4	0	4	0	0
12	0	2179	2179	2189	10	0	10	0	0
13	0	2236	2236	2250	14	0	14	0	0
15	0	2362	2367	2404	24	13	42	31	5
14	0	2361	2361	2448	44	31	87	74	0
16	0	2467	2467	2547	27	53	80	106	0
18	0	2679	2680	2682	2	0	3	1	1
17	0	2669	2669	2694	21	4	25	8	0
19	0	2713	2713	2722	9	0	9	0	0
20	0	2740	2740	2797	41	16	57	32	0
22	0	2786	2810	2871	33	7	85	59	24
21	0	2771	2797	2892	62	7	121	66	26
23	0	3007	3007	3058	12	39	51	78	0
24	0	3086	3086	3096	10	0	10	0	0
25	0	3151	3151	3187	23	13	36	26	0
26	0	3331	3331	3350	5	14	19	28	0
27	0	3985	3985	4022	36	1	37	2	0
28	0	4028	4028	4078	35	15	50	30	0
29	0	4093	4093	4131	36	2	38	4	0
30	0	4758	4758	4801	37	6	43	12	0
0	0	0	0	4801	4137	0	4801	664	0
