id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	6	0	0	40	38	2	40	4	0
2	5	245	245	248	3	0	3	0	0
3	5	321	321	328	7	0	7	0	0
4	5	488	488	543	55	0	55	0	0
5	4	679	679	694	10	5	15	10	0
6	5	804	804	813	9	0	9	0	0
7	4	821	821	932	86	25	111	50	0
9	5	1254	1254	1293	39	0	39	0	0
8	6	1236	1236	1303	24	26	67	69	0
10	8	1764	1764	1844	74	6	80	12	0
11	5	1884	1884	1892	8	0	8	0	0
12	5	2179	2179	2199	20	0	20	0	0
13	5	2236	2236	2264	28	0	28	0	0
15	20	2362	2373	2433	47	13	71	37	11
14	24	2361	2361	2507	86	31	146	91	0
16	3	2467	2491	2597	53	53	130	130	24
18	5	2679	2691	2694	3	0	15	12	12
17	14	2669	2669	2715	42	4	46	8	0
19	5	2713	2715	2733	18	0	20	2	2
20	13	2740	2740	2863	80	16	123	59	0
22	6	2786	2797	2921	65	7	135	77	11
21	36	2771	2771	3021	123	7	250	134	0
23	8	3007	3021	3083	23	39	76	92	14
24	5	3086	3086	3105	19	0	19	0	0
25	16	3151	3151	3208	44	13	57	26	0
26	4	3331	3331	3355	10	14	24	28	0
27	23	3985	3985	4057	71	1	72	2	0
29	33	4093	4093	4181	70	2	88	20	0
28	19	4028	4057	4199	68	15	171	118	29
30	27	4758	4758	4838	74	6	80	12	0
0	0	0	0	4838	3541	0	4838	1297	0
