id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	8	0	0	59	57	2	59	4	0
2	5	245	245	249	4	0	4	0	0
3	5	321	321	331	10	0	10	0	0
4	5	488	488	570	82	0	82	0	0
5	5	679	679	699	15	5	20	10	0
6	5	804	804	817	13	0	13	0	0
7	5	821	821	974	128	25	153	50	0
9	5	1254	1256	1314	58	0	60	2	2
8	8	1236	1236	1329	34	26	93	85	0
10	11	1764	1764	1880	110	6	116	12	0
11	5	1884	1884	1896	12	0	12	0	0
12	5	2179	2179	2209	30	0	30	0	0
13	5	2236	2236	2278	42	0	42	0	0
15	28	2362	2379	2463	71	13	101	43	17
16	4	2467	2494	2626	79	53	159	133	27
14	36	2361	2361	2646	127	31	285	189	0
18	5	2679	2702	2707	5	0	28	23	23
17	19	2669	2669	2737	63	4	68	9	0
19	5	2713	2737	2764	27	0	51	24	24
20	19	2740	2764	2933	120	16	193	89	24
22	8	2786	2835	3019	96	7	233	144	49
24	5	3086	3122	3150	28	0	64	36	36
21	53	2771	2796	3236	184	7	465	288	25
23	10	3007	3019	3241	32	39	234	241	12
25	24	3151	3157	3293	67	13	142	88	6
26	4	3331	3331	3359	14	14	28	28	0
27	32	3985	3985	4261	106	1	276	171	0
28	28	4028	4044	4283	101	15	255	169	16
29	48	4093	4096	4297	105	2	204	101	3
30	39	4758	4758	4875	111	6	117	12	0
0	0	0	0	4875	2944	0	4875	1931	0
