id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	59	57	2	59	4	0
2	0	245	245	249	4	0	4	0	0
3	0	321	321	331	10	0	10	0	0
4	0	488	488	570	82	0	82	0	0
5	0	679	679	699	15	5	20	10	0
6	0	804	804	817	13	0	13	0	0
7	0	821	821	974	128	25	153	50	0
8	0	1236	1236	1316	34	26	80	72	0
9	0	1254	1254	1329	58	0	75	17	0
10	0	1764	1764	1880	110	6	116	12	0
11	0	1884	1884	1896	12	0	12	0	0
12	0	2179	2179	2209	30	0	30	0	0
13	0	2236	2236	2278	42	0	42	0	0
15	0	2362	2362	2510	71	13	148	90	0
14	0	2361	2361	2583	127	31	222	126	0
16	0	2467	2467	2638	79	53	171	145	0
18	0	2679	2679	2684	5	0	5	0	0
19	0	2713	2713	2747	27	0	34	7	0
17	0	2669	2669	2840	63	4	171	112	0
20	0	2740	2747	3090	120	16	350	246	7
22	0	2786	2799	3102	96	7	316	227	13
24	0	3086	3102	3137	28	0	51	23	16
23	0	3007	3047	3142	32	39	135	142	40
25	0	3151	3151	3255	67	13	104	50	0
21	0	2771	2783	3295	184	7	524	347	12
26	0	3331	3331	3359	14	14	28	28	0
27	0	3985	3985	4160	106	1	175	70	0
28	0	4028	4028	4283	101	15	255	169	0
29	0	4093	4113	4297	105	2	204	101	20
30	0	4758	4758	4875	111	6	117	12	0
0	0	0	0	4875	2944	0	4875	1931	0
