id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	78	76	2	78	4	0
2	0	245	245	250	5	0	5	0	0
3	0	321	321	335	14	0	14	0	0
4	0	488	488	597	109	0	109	0	0
5	0	679	679	704	20	5	25	10	0
6	0	804	804	821	17	0	17	0	0
7	0	821	821	1016	170	25	195	50	0
8	0	1236	1236	1327	45	26	91	72	0
9	0	1254	1254	1358	77	0	104	27	0
11	0	1884	1884	1900	16	0	16	0	0
10	0	1764	1764	1932	146	6	168	28	0
12	0	2179	2179	2218	39	0	39	0	0
13	0	2236	2236	2292	56	0	56	0	0
15	0	2362	2362	2522	94	13	160	79	0
18	0	2679	2679	2685	6	0	6	0	0
16	0	2467	2467	2777	105	53	310	258	0
14	0	2361	2361	2833	170	31	472	333	0
19	0	2713	2740	2884	35	0	171	136	27
17	0	2669	2677	2964	84	4	295	215	8
24	0	3086	3133	3303	38	0	217	179	47
23	0	3007	3047	3310	43	39	303	299	40
22	0	2786	2833	3434	128	7	648	527	47
20	0	2740	2777	3460	159	16	720	577	37
26	0	3331	3345	3495	19	14	164	159	14
25	0	3151	3220	3533	87	13	382	308	69
21	0	2771	2805	3574	245	7	803	565	34
27	0	3985	3985	4306	141	1	321	181	0
28	0	4028	4028	4355	134	15	327	208	0
29	0	4093	4113	4401	139	2	308	171	20
30	0	4758	4758	4911	147	6	153	12	0
0	0	0	0	4911	2347	0	4911	2564	0
