id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	43	36	7	43	14	0
3	0	187	187	256	52	17	69	34	0
2	0	143	143	261	26	90	118	182	0
5	0	278	278	282	4	0	4	0	0
4	0	194	194	291	29	30	97	98	0
6	0	315	315	368	43	10	53	20	0
7	0	317	325	399	37	10	82	55	8
11	0	743	762	792	11	9	49	47	19
8	0	668	668	816	77	62	148	133	0
10	0	742	764	846	49	2	104	57	22
13	0	828	846	891	11	10	63	62	18
9	0	736	856	1028	94	4	292	202	120
12	0	747	931	1053	59	32	306	279	184
15	0	870	891	1089	65	27	219	181	21
16	0	1069	1089	1095	6	0	26	20	20
14	0	860	900	1174	93	11	314	232	40
17	0	1156	1174	1422	78	33	266	221	18
20	0	1377	1412	1424	3	6	47	50	35
18	0	1178	1194	1460	61	57	282	278	16
19	0	1299	1299	1505	170	15	206	51	0
21	0	1492	1505	1603	98	0	111	13	13
23	0	1644	1647	1675	28	0	31	3	3
22	0	1608	1608	1707	42	55	99	112	0
24	0	1733	1733	1886	117	20	153	56	0
25	0	1796	1847	1916	37	32	120	115	51
26	0	1929	1929	1939	7	3	10	6	0
27	0	2009	2009	2081	63	9	72	18	0
28	0	2209	2209	2229	20	0	20	0	0
29	0	2369	2369	2451	63	19	82	38	0
30	0	2452	2452	2453	1	0	1	0	0
0	0	0	0	2453	973	0	2453	1480	0
