id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	1	0	0	43	36	7	43	14	0
4	0	194	194	253	29	30	59	60	0
3	0	187	187	272	52	17	85	50	0
2	1	143	143	277	26	90	134	198	0
5	0	278	278	282	4	0	4	0	0
6	1	315	315	394	43	10	79	46	0
7	1	317	317	397	37	10	80	53	0
11	0	743	827	857	11	9	114	112	84
13	0	828	828	858	11	10	30	29	0
15	1	870	870	1002	65	27	132	94	0
10	1	742	742	1008	49	2	266	219	0
16	0	1069	1069	1075	6	0	6	0	0
12	1	747	767	1105	59	32	358	331	20
14	2	860	860	1262	93	11	402	320	0
8	3	668	668	1269	77	62	601	586	0
9	3	736	736	1280	94	4	544	454	0
18	2	1178	1178	1361	61	57	183	179	0
20	0	1377	1377	1386	3	6	9	12	0
17	2	1156	1156	1413	78	33	257	212	0
21	4	1492	1492	1590	98	0	98	0	0
19	5	1299	1299	1622	170	15	323	168	0
23	1	1644	1644	1675	28	0	31	3	0
22	0	1608	1608	1725	42	55	117	130	0
25	1	1796	1796	1865	37	32	69	64	0
24	4	1733	1733	1907	117	20	174	77	0
26	0	1929	1929	1939	7	3	10	6	0
27	1	2009	2009	2081	63	9	72	18	0
28	0	2209	2209	2229	20	0	20	0	0
29	2	2369	2369	2451	63	19	82	38	0
30	0	2452	2452	2453	1	0	1	0	0
0	0	0	0	2453	973	0	2453	1480	0
