id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	48	36	12	48	24	0
4	0	194	194	273	29	50	79	100	0
5	0	278	278	282	4	0	4	0	0
3	0	187	187	287	52	28	100	76	0
2	0	143	143	321	26	150	178	302	0
6	0	315	315	404	43	16	89	62	0
7	0	317	321	408	37	17	91	71	4
10	0	742	742	899	49	3	157	111	0
11	0	743	747	917	11	15	174	178	4
13	0	828	860	931	11	16	103	108	32
8	0	668	668	1020	77	102	352	377	0
9	0	736	736	1075	94	6	339	251	0
16	0	1069	1075	1081	6	0	12	6	6
12	0	747	760	1141	59	53	394	388	13
15	0	870	917	1172	65	44	302	281	47
14	0	860	899	1183	93	17	323	247	39
17	0	1156	1172	1335	78	53	179	154	16
18	0	1178	1183	1381	61	94	203	236	5
20	0	1377	1381	1393	3	9	16	22	4
19	0	1299	1299	1594	170	23	295	148	0
21	0	1492	1492	1640	98	0	148	50	0
23	0	1644	1644	1676	28	0	32	4	0
22	0	1608	1608	1760	42	90	152	200	0
25	0	1796	1796	1906	37	53	110	126	0
24	0	1733	1733	1925	117	32	192	107	0
26	0	1929	1929	1941	7	5	12	10	0
27	0	2009	2009	2086	63	14	77	28	0
28	0	2209	2209	2229	20	0	20	0	0
30	0	2452	2452	2453	1	0	1	0	0
29	0	2369	2369	2464	63	31	95	63	0
0	0	0	0	2464	984	0	2464	1480	0
