id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	52	36	16	52	32	0
3	0	187	187	278	52	39	91	78	0
5	0	278	293	297	4	0	19	15	15
4	0	194	194	332	29	70	138	179	0
6	0	315	315	380	43	22	65	44	0
7	0	317	325	411	37	24	94	81	8
2	0	143	143	416	26	210	273	457	0
9	0	736	736	885	94	9	149	64	0
10	0	742	770	944	49	5	202	158	28
11	0	743	789	953	11	21	210	220	46
12	0	747	791	1011	59	75	264	280	44
8	0	668	668	1035	77	144	367	434	0
13	0	828	953	1036	11	23	208	220	125
14	0	860	963	1115	93	24	255	186	103
16	0	1069	1132	1138	6	0	69	63	63
15	0	870	977	1213	65	61	343	339	107
17	0	1156	1156	1427	78	74	271	267	0
20	0	1377	1427	1443	3	13	66	76	50
18	0	1178	1219	1493	61	132	315	386	41
19	0	1299	1299	1538	170	32	239	101	0
21	0	1492	1538	1636	98	0	144	46	46
23	0	1644	1644	1672	28	0	28	0	0
22	0	1608	1636	1913	42	127	305	390	28
24	0	1733	1733	1916	117	45	183	111	0
26	0	1929	1929	1943	7	7	14	14	0
25	0	1796	1863	1974	37	74	178	215	67
27	0	2009	2009	2091	63	19	82	38	0
28	0	2209	2209	2229	20	0	20	0	0
29	0	2369	2369	2475	63	43	106	86	0
30	0	2452	2475	2476	1	0	24	23	23
0	0	0	0	2476	996	0	2476	1480	0
