id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	52	36	16	52	32	0
3	0	187	187	278	52	39	91	78	0
5	0	278	293	297	4	0	19	15	15
4	0	194	194	332	29	70	138	179	0
6	0	315	315	380	43	22	65	44	0
2	0	143	143	385	26	210	242	426	0
7	0	317	325	416	37	24	99	86	8
11	0	743	770	829	11	21	86	96	27
10	0	742	772	869	49	5	127	83	30
13	0	828	829	870	11	23	42	54	1
8	0	668	668	917	77	144	249	316	0
9	0	736	736	1031	94	9	295	210	0
15	0	870	884	1067	65	61	197	193	14
12	0	747	934	1092	59	75	345	361	187
16	0	1069	1092	1098	6	0	29	23	23
14	0	860	870	1177	93	24	317	248	10
17	0	1156	1177	1428	78	74	272	268	21
20	0	1377	1412	1430	3	13	53	63	35
18	0	1178	1197	1494	61	132	316	387	19
19	0	1299	1299	1539	170	32	240	102	0
21	0	1492	1539	1637	98	0	145	47	47
23	0	1644	1645	1673	28	0	29	1	1
24	0	1733	1733	1902	117	45	169	97	0
22	0	1608	1637	1916	42	127	308	393	29
26	0	1929	1929	1943	7	7	14	14	0
25	0	1796	1863	1974	37	74	178	215	67
27	0	2009	2009	2091	63	19	82	38	0
28	0	2209	2209	2229	20	0	20	0	0
29	0	2369	2369	2475	63	43	106	86	0
30	0	2452	2475	2476	1	0	24	23	23
0	0	0	0	2476	996	0	2476	1480	0
