id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	48	36	12	48	24	0
3	0	187	187	267	52	28	80	56	0
5	0	278	282	286	4	0	8	4	4
4	0	194	194	307	29	50	113	134	0
2	0	143	143	319	26	150	176	300	0
6	0	315	319	378	43	16	63	36	4
7	0	317	329	409	37	17	92	72	12
9	0	736	736	914	94	6	178	90	0
10	0	742	770	944	49	3	202	156	28
11	0	743	789	953	11	15	210	214	46
12	0	747	791	1011	59	53	264	258	44
8	0	668	668	1035	77	102	367	392	0
13	0	828	953	1036	11	16	208	213	125
14	0	860	963	1115	93	17	255	179	103
16	0	1069	1132	1138	6	0	69	63	63
15	0	870	977	1212	65	44	342	321	107
17	0	1156	1156	1427	78	53	271	246	0
20	0	1377	1427	1442	3	9	65	71	50
18	0	1178	1218	1478	61	94	300	333	40
19	0	1299	1299	1523	170	23	224	77	0
21	0	1492	1523	1621	98	0	129	31	31
23	0	1644	1644	1672	28	0	28	0	0
22	0	1608	1621	1864	42	90	256	304	13
24	0	1733	1736	1903	117	32	170	85	3
26	0	1929	1929	1941	7	5	12	10	0
25	0	1796	1864	1954	37	53	158	174	68
27	0	2009	2009	2086	63	14	77	28	0
28	0	2209	2209	2229	20	0	20	0	0
29	0	2369	2369	2463	63	31	94	62	0
30	0	2452	2463	2464	1	0	12	11	11
0	0	0	0	2464	984	0	2464	1480	0
